Dataset,Model,Metric,Base_Metric,Category,Count,Mean,Std,CV,Skewness,Kurtosis,Min,Q25,Median,Q75,Max,IQR,Range
Dialogset,DistilBART,EHI_EXP_after,EHI_EXP,After,187,0.5117681837984208,0.10362297341730205,0.20248029615322444,-1.656039277042358,2.1467031446541687,0.20000167934158708,0.4862172681275916,0.5453500859909692,0.5781583385220777,0.643619439839384,0.09194107039448607,0.4436177604977969
Dialogset,DistilBART,EHI_W_before,EHI_W,Before,187,0.11975284943855122,0.17170737548277593,1.4338479317010668,1.6337682084147294,3.198766261665893,0.0,0.0,0.0,0.2306295164841981,0.9410029498525073,0.2306295164841981,0.9410029498525073
Dialogset,DistilBART,EHI_W_after,EHI_W,After,187,0.3202959709662397,0.16728397508710868,0.5222793611248422,1.3745246644327072,1.511326707384128,0.2,0.2,0.2,0.4510260218299119,1.0,0.2510260218299119,0.8
Dialogset,DistilBART,EHI_before,EHI,Before,187,0.18536378043629229,0.1609220728725012,0.8681419449567632,0.7219575331091735,-0.024466740796542208,0.0043161610294446175,0.03407109321641438,0.16424640987786876,0.33022607290464695,0.8105866615708007,0.29615497968823257,0.8062705005413561
Dialogset,DistilBART,EHI_after,EHI,After,187,0.3662519674202477,0.15465199660022866,0.42225574292349577,0.9021028347466823,0.2511244156709602,0.20403304270903103,0.23157894736842105,0.332407955616955,0.4551789906901272,1.0,0.22360004332170613,0.795966957290969
Dialogset,FlanT5,EHI_before,EHI,Before,106,0.17303031473954528,0.15302996207521302,0.8844112796394211,0.38594024670988186,-1.025480723423207,0.0,0.014808344480915902,0.16356740886588247,0.2994966955688694,0.5565893263085037,0.2846883510879535,0.5565893263085037
Dialogset,FlanT5,EHI_after,EHI,After,106,0.14514958712960635,0.16164304021612863,1.1136307268431636,0.5472962574489945,-1.2928722460388833,0.0,0.0,0.07249017649065195,0.29497918124912414,0.49123460959227705,0.29497918124912414,0.49123460959227705
Dialogset,FlanT5,EF1_before,EF1,Before,106,0.08335795003910887,0.14862240345800862,1.7829421595454276,3.585858180332003,14.914675229047978,0.0,0.0,0.035098522167487683,0.09228996438298764,0.8750000000000001,0.09228996438298764,0.8750000000000001
Dialogset,FlanT5,EF1_after,EF1,After,106,0.06268156600029773,0.11204470949221275,1.787522498906306,2.2092531883820405,4.110434374627038,0.0,0.0,0.009533491471817463,0.0594059405940594,0.47368421052631576,0.0594059405940594,0.47368421052631576
Dialogset,FlanT5,PH_before,PH,Before,106,0.0792776632724889,0.14789350222588593,1.8655128837180073,3.678561718472724,15.608963675263931,0.0,0.0,0.03065134099616858,0.07830404889228418,0.875,0.07830404889228418,0.875
Dialogset,FlanT5,PH_after,PH,After,106,0.05974578639070462,0.11058428948562102,1.8509136152708832,2.321967976623362,4.643180227796423,0.0,0.0,0.005198475786711081,0.0594059405940594,0.47368421052631576,0.0594059405940594,0.47368421052631576
Dialogset,FlanT5,OF_before,OF,Before,106,0.07640040835581242,0.09077435270663352,1.1881396272632299,1.4280166819347235,1.3913263136629808,0.0,0.0,0.0418859649122807,0.12032085561497327,0.38461538461538464,0.12032085561497327,0.38461538461538464
Dialogset,FlanT5,OF_after,OF,After,106,0.09017115867992218,0.17454644866399677,1.9357236972364855,3.105430464288901,9.988243054213813,0.0,0.0,0.027137956383239403,0.08794326241134752,0.8571428571428571,0.08794326241134752,0.8571428571428571
Dialogset,FlanT5,LF_before,LF,Before,106,2.641013912712026,3.8072811727553426,1.4415983022390406,3.2305142664310487,12.713592890247856,0.0,0.40714285714285714,1.4,3.3125,23.0,2.905357142857143,23.0
Dialogset,FlanT5,LF_after,LF,After,106,0.8278005799232213,1.3256232357662754,1.6013799312501416,2.245054401425442,5.996040977306915,0.0,0.0,0.0,1.2642857142857142,6.666666666666667,1.2642857142857142,6.666666666666667
Dialogset,FlanT5,NH_before,NH,Before,106,0.0989143456124588,0.2179312277529192,2.2032317597971307,2.779797223742916,7.748052464917208,0.0,0.0,0.0,0.10833333333333334,1.0,0.10833333333333334,1.0
Dialogset,FlanT5,NH_after,NH,After,106,0.026814914645103324,0.11086449906472252,4.134434158453214,6.997125187858233,57.84659196271776,0.0,0.0,0.0,0.0,1.0,0.0,1.0
